number,name_stopping,clean_name,pos_vys,po_treb,changed,longitude,latitude
5686,Ж/Д ПЛАТФОРМА СОРТИРОВОЧНАЯ (высадка),"Ж.-Д. ПЛАТФОРМА ""СОРТИРОВОЧНАЯ""",(ВЫСАДКА),False,True,30.42379,59.86687
5687,ПРОСПЕКТ КОСМОНАВТОВ / УЛИЦА ТИПАНОВА,ПР. КОСМОНАВТОВ / УЛ. ТИПАНОВА,,False,True,30.3502,59.85283
5688,УЛИЦА ТИПАНОВА / ПРОСПЕКТ КОСМОНАВТОВ,УЛ. ТИПАНОВА / ПР. КОСМОНАВТОВ,,False,True,30.35233,59.85227
5689,БУХАРЕСТСКАЯ УЛИЦА,БУХАРЕСТСКАЯ УЛ.,,False,True,30.3941,59.85934
5690,УЛИЦА МАРШАЛА НОВИКОВА,УЛ. МАРШАЛА НОВИКОВА,,False,True,30.267928,60.013128
5691,ПОЛИКЛИНИКА № 51,ПОЛИКЛИНИКА № 51,,False,False,30.35058,59.85642
5692,"ПРОСПЕКТ КОСМОНАВТОВ, 50","ПР. КОСМОНАВТОВ, 50",,False,True,30.35428,59.84783
5693,ПРАЖСКАЯ УЛИЦА / ПРОСПЕКТ СЛАВЫ,ПРАЖСКАЯ УЛ. / ПР. СЛАВЫ,,False,True,30.4044,59.8622
5694,УЛИЦА БАБУШКИНА,УЛ. БАБУШКИНА,,False,True,30.443811,59.875472
5695,ГАККЕЛЕВСКАЯ УЛИЦА,ГАККЕЛЕВСКАЯ УЛ.,,False,True,30.25816,60.0066
5696,"МЕТРО ""КИРОВСКИЙ ЗАВОД""","СТ. МЕТРО ""КИРОВСКИЙ ЗАВОД""",,False,True,30.260667,59.879206
5697,КАМЫШОВАЯ УЛИЦА,КАМЫШОВАЯ УЛ.,,False,True,30.2571,60.0045
5698,УЛИЦА ШОТМАНА. УНИВЕРСИТЕТ ТЕЛЕКОММУНИКАЦИЙ,УЛ. ШОТМАНА. УНИВЕРСИТЕТ ТЕЛЕКОММУНИКАЦИЙ,,False,True,30.486569,59.902847
5699,"КОМЕНДАНТСКИЙ ПРОСПЕКТ, 16","КОМЕНДАНТСКИЙ ПР., 16",,False,True,30.2558,60.0106
5700,"МЕТРО ""АВТОВО""","СТ. МЕТРО ""АВТОВО""",,False,True,30.2607,59.8677
5701,"МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""","СТ. МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""",,False,True,30.2581,60.0087
5702,КОМСОМОЛЬСКАЯ ПЛОЩАДЬ,КОМСОМОЛЬСКАЯ ПЛ.,,False,True,30.2589,59.8737
5703,ДОЛГООЗЁРНАЯ УЛИЦА,ДОЛГООЗЁРНАЯ УЛ.,,False,True,30.2483,60.0171
5704,УЛИЦА ЖЕНИ ЕГОРОВОЙ (высадка),УЛ. ЖЕНИ ЕГОРОВОЙ,(ВЫСАДКА),False,True,30.313939,60.064539
5705,ПРОСПЕКТ СТАЧЕК,ПР. СТАЧЕК,,False,True,30.25476,59.85928
5706,"КОМЕНДАНТСКИЙ ПРОСПЕКТ, 22","КОМЕНДАНТСКИЙ ПР., 22",,False,True,30.2527,60.0133
5707,ТРАМВАЙНЫЙ ПРОСПЕКТ,ТРАМВАЙНЫЙ ПР.,,False,True,30.2565,59.8565
5708,КОМЕНДАНТСКИЙ ПРОСПЕКТ,КОМЕНДАНТСКИЙ ПР.,,False,True,30.239081,60.024958
5709,УНИВЕРСАМ,УНИВЕРСАМ,,False,False,30.2435,60.0212
5710,УЛИЦА ЖЕНИ ЕГОРОВОЙ (посадка),УЛ. ЖЕНИ ЕГОРОВОЙ,(ПОСАДКА),False,True,30.31641,60.06405
5711,"МЕТРО ""СТАРАЯ ДЕРЕВНЯ""","СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ""",,False,True,30.2552,59.9897
5712,АДМИНИСТРАЦИЯ КИРОВСКОГО РАЙОНА,АДМИНИСТРАЦИЯ КИРОВСКОГО РАЙОНА,,False,False,30.2755,59.8941
5713,УЛИЦА ОПТИКОВ,УЛ. ОПТИКОВ,,False,True,30.2555,59.9958
5714,"МЕТРО ""НАРВСКАЯ""","СТ. МЕТРО ""НАРВСКАЯ""",,False,True,30.27447,59.90091
5715,УЛИЦА ТРЕФОЛЕВА,УЛ. ТРЕФОЛЕВА,,False,True,30.27234,59.89074
5716,"ПРОСПЕКТ КОСМОНАВТОВ, 74","ПР. КОСМОНАВТОВ, 74",,False,True,30.35858,59.83867
5717,ОГОРОДНЫЙ ПЕРЕУЛОК,ОГОРОДНЫЙ ПЕР.,,False,True,30.268804,59.887227
5718,СИТЦЕВАЯ УЛИЦА,СИТЦЕВАЯ УЛ.,,False,True,30.25508,59.99681
5719,ПРОСПЕКТ КОСМОНАВТОВ,ПР. КОСМОНАВТОВ,,False,True,30.360169,59.835022
5720,УЛИЦА ОПТИКОВ,УЛ. ОПТИКОВ,,False,True,30.25531,59.99499
5721,БОГАТЫРСКИЙ ПРОСПЕКТ / ГАККЕЛЕВСКАЯ УЛИЦА,БОГАТЫРСКИЙ ПР. / ГАККЕЛЕВСКАЯ УЛ.,,False,True,30.25512,60.00069
5722,УЛИЦА ВОЗРОЖДЕНИЯ,УЛ. ВОЗРОЖДЕНИЯ,,False,True,30.26499,59.88347
5723,ЗВЁЗДНАЯ УЛИЦА (посадка),ЗВЁЗДНАЯ УЛ.,(ПОСАДКА),False,True,30.3688,59.83568
5724,УЛИЦА ТИПАНОВА / ПРОСПЕКТ КОСМОНАВТОВ,УЛ. ТИПАНОВА / ПР. КОСМОНАВТОВ,,False,True,30.3523,59.85336
5725,"МЕТРО ""КИРОВСКИЙ ЗАВОД""","СТ. МЕТРО ""КИРОВСКИЙ ЗАВОД""",,False,True,30.2606,59.879628
5726,УЛИЦА ВОЗРОЖДЕНИЯ,УЛ. ВОЗРОЖДЕНИЯ,,False,True,30.264,59.883
5727,"КОМЕНДАНТСКИЙ ПРОСПЕКТ, 16","КОМЕНДАНТСКИЙ ПР., 16",,False,True,30.2558,60.0112
5728,"ПРОСПЕКТ КОСМОНАВТОВ, 50","ПР. КОСМОНАВТОВ, 50",,False,True,30.354519,59.848053
5729,"МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""","СТ. МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""",,False,True,30.2613,60.0088
5730,КАМЫШОВАЯ УЛИЦА,КАМЫШОВАЯ УЛ.,,False,True,30.2578,60.0049
5731,ОГОРОДНЫЙ ПЕРЕУЛОК,ОГОРОДНЫЙ ПЕР.,,False,True,30.2677,59.8867
5732,УЛИЦА ОРДЖОНИКИДЗЕ,УЛ. ОРДЖОНИКИДЗЕ,,False,True,30.35656,59.84343
5733,УНИВЕРСАМ,УНИВЕРСАМ,,False,False,30.263036,60.010722
5734,БОГАТЫРСКИЙ ПРОСПЕКТ,БОГАТЫРСКИЙ ПР.,,False,True,30.2562,60.0019
5735,УЛИЦА ТРЕФОЛЕВА,УЛ. ТРЕФОЛЕВА,,False,True,30.27091,59.88994
5736,АДМИНИСТРАЦИЯ КИРОВСКОГО РАЙОНА,АДМИНИСТРАЦИЯ КИРОВСКОГО РАЙОНА,,False,False,30.2751,59.8945
5737,УЛИЦА УТОЧКИНА,УЛ. УТОЧКИНА,,False,True,30.262019,60.008753
